storm_id,storm_name,basin,timestamp,status,latitude,longitude,wind_speed,pressure,intensity_category,prev_lat,prev_lon,prev_wind_speed,prev_pressure,time_diff_hours,movement_distance_km,movement_direction_deg,velocity_kmh,wind_change,pressure_change,rolling_avg_wind_3
AL052015,ERIKA,Atlantic,2015-08-24 18:00:00,TS,14.3,-45.1,40.0,1003.0,Tropical Storm,,,,,,,,,,,40.0
AL052015,ERIKA,Atlantic,2015-08-25 00:00:00,TS,14.4,-46.9,40.0,1003.0,Tropical Storm,14.3,-45.1,40.0,1003.0,6.0,194.22416585371835,273.1798301198642,32.370694308953055,0.0,0.0,40.0
AL052015,ERIKA,Atlantic,2015-08-25 06:00:00,TS,14.7,-48.6,40.0,1003.0,Tropical Storm,14.4,-46.9,40.0,1003.0,6.0,185.98430617493625,280.00797980144125,30.997384362489374,0.0,0.0,40.0
AL052015,ERIKA,Atlantic,2015-08-25 12:00:00,TS,15.0,-50.2,40.0,1003.0,Tropical Storm,14.7,-48.6,40.0,1003.0,6.0,175.17459410040345,280.61965527615513,29.195765683400577,0.0,0.0,40.0
AL052015,ERIKA,Atlantic,2015-08-25 18:00:00,TS,15.3,-51.9,35.0,1004.0,Tropical Storm,15.0,-50.2,40.0,1003.0,6.0,185.48518912811494,280.00797980144137,30.914198188019157,-5.0,1.0,38.333333333333336
AL052015,ERIKA,Atlantic,2015-08-26 00:00:00,TS,15.7,-53.6,35.0,1006.0,Tropical Storm,15.3,-51.9,35.0,1004.0,6.0,187.5070679057805,283.2405199151871,31.25117798429675,0.0,2.0,36.666666666666664
AL052015,ERIKA,Atlantic,2015-08-26 06:00:00,TS,15.9,-55.2,35.0,1005.0,Tropical Storm,15.7,-53.6,35.0,1006.0,6.0,172.62796849438132,277.1250163489018,28.771328082396888,0.0,-1.0,35.0
AL052015,ERIKA,Atlantic,2015-08-26 12:00:00,TS,16.2,-56.8,40.0,1005.0,Tropical Storm,15.9,-55.2,35.0,1005.0,6.0,174.20017279692604,280.61965527615513,29.033362132821008,5.0,0.0,36.666666666666664
AL052015,ERIKA,Atlantic,2015-08-26 18:00:00,TS,16.4,-58.2,40.0,1005.0,Tropical Storm,16.2,-56.8,40.0,1005.0,6.0,151.06124293027656,278.1301023541559,25.17687382171276,0.0,0.0,38.333333333333336
AL052015,ERIKA,Atlantic,2015-08-27 00:00:00,TS,16.6,-59.5,40.0,1006.0,Tropical Storm,16.4,-58.2,40.0,1005.0,6.0,140.37315804136225,278.74616226255534,23.39552634022704,0.0,1.0,40.0
AL052015,ERIKA,Atlantic,2015-08-27 06:00:00,TS,16.5,-60.8,45.0,1001.0,Tropical Storm,16.6,-59.5,40.0,1006.0,6.0,139.009954576402,265.6012946450044,23.16832576273367,5.0,-5.0,41.666666666666664
AL052015,ERIKA,Atlantic,2015-08-27 12:00:00,TS,16.5,-62.2,45.0,1004.0,Tropical Storm,16.5,-60.8,45.0,1001.0,6.0,149.26194657632442,270.0,24.87699109605407,0.0,3.0,43.333333333333336
