storm_id,storm_name,basin,timestamp,status,latitude,longitude,wind_speed,pressure,intensity_category,prev_lat,prev_lon,prev_wind_speed,prev_pressure,time_diff_hours,movement_distance_km,movement_direction_deg,velocity_kmh,wind_change,pressure_change,rolling_avg_wind_3
AL012000,UNNAMED,Atlantic,2000-06-07 18:00:00,TD,21.0,-93.0,25.0,1008.0,Tropical Depression,,,,,,,,,,,25.0
AL012000,UNNAMED,Atlantic,2000-06-08 00:00:00,TD,20.9,-92.8,25.0,1009.0,Tropical Depression,21.0,-93.0,25.0,1008.0,6.0,23.558164976612968,116.56505117707799,3.926360829435495,0.0,1.0,25.0
AL012000,UNNAMED,Atlantic,2000-06-08 06:00:00,TD,20.7,-93.1,25.0,1010.0,Tropical Depression,20.9,-92.8,25.0,1009.0,6.0,38.30189540217255,236.30993247402006,6.383649233695425,0.0,1.0,25.0
AL012000,UNNAMED,Atlantic,2000-06-08 12:00:00,TD,20.8,-93.5,25.0,1010.0,Tropical Depression,20.7,-93.1,25.0,1010.0,6.0,43.05359802620537,284.03624346792645,7.175599671034228,0.0,0.0,25.0
AL012001,ALLISON,Atlantic,2001-06-05 12:00:00,TS,27.5,-95.0,40.0,1007.0,Tropical Storm,,,,,,,,,,,40.0
AL012001,ALLISON,Atlantic,2001-06-05 18:00:00,TS,28.5,-95.3,50.0,1002.0,Tropical Storm,27.5,-95.0,40.0,1007.0,6.0,115.02954486892259,343.30075576600655,19.171590811487096,10.0,-5.0,45.0
AL012001,ALLISON,Atlantic,2001-06-05 21:00:00,TS,28.9,-95.3,45.0,1003.0,Tropical Storm,28.5,-95.3,50.0,1002.0,3.0,44.47797065782285,0.0,14.825990219274283,-5.0,1.0,45.0
AL012001,ALLISON,Atlantic,2001-06-06 00:00:00,TS,29.3,-95.3,45.0,1003.0,Tropical Storm,28.9,-95.3,45.0,1003.0,3.0,44.477970657824265,0.0,14.825990219274756,0.0,0.0,46.666666666666664
AL012001,ALLISON,Atlantic,2001-06-06 06:00:00,TD,30.1,-95.2,30.0,1006.0,Tropical Depression,29.3,-95.3,45.0,1003.0,6.0,89.47875606429614,7.125016348901391,14.913126010716022,-15.0,3.0,40.0
AL012001,ALLISON,Atlantic,2001-06-06 12:00:00,TD,31.0,-95.2,20.0,1005.0,Tropical Depression,30.1,-95.2,30.0,1006.0,6.0,100.07543398010229,0.0,16.679238996683715,-10.0,-1.0,31.666666666666668
AL012001,ALLISON,Atlantic,2001-06-06 18:00:00,TD,31.5,-95.0,20.0,1005.0,Tropical Depression,31.0,-95.2,20.0,1005.0,6.0,58.75834673467854,21.801409486352092,9.79305778911309,0.0,0.0,23.333333333333332
AL012001,ALLISON,Atlantic,2001-06-07 00:00:00,TD,31.6,-95.0,20.0,1005.0,Tropical Depression,31.5,-95.0,20.0,1005.0,6.0,11.119492664455889,0.0,1.8532487774093147,0.0,0.0,20.0
