storm_id,storm_name,basin,timestamp,status,latitude,longitude,wind_speed,pressure
AL012000,UNNAMED,Atlantic,2000-06-07 18:00:00,TD,21.0,-93.0,25.0,1008.0
AL012000,UNNAMED,Atlantic,2000-06-08 00:00:00,TD,20.9,-92.8,25.0,1009.0
AL012000,UNNAMED,Atlantic,2000-06-08 06:00:00,TD,20.7,-93.1,25.0,1010.0
AL012000,UNNAMED,Atlantic,2000-06-08 12:00:00,TD,20.8,-93.5,25.0,1010.0
AL012001,ALLISON,Atlantic,2001-06-05 12:00:00,TS,27.5,-95.0,40.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-05 18:00:00,TS,28.5,-95.3,50.0,1002.0
AL012001,ALLISON,Atlantic,2001-06-05 21:00:00,TS,28.9,-95.3,45.0,1003.0
AL012001,ALLISON,Atlantic,2001-06-06 00:00:00,TS,29.3,-95.3,45.0,1003.0
AL012001,ALLISON,Atlantic,2001-06-06 06:00:00,TD,30.1,-95.2,30.0,1006.0
AL012001,ALLISON,Atlantic,2001-06-06 12:00:00,TD,31.0,-95.2,20.0,1005.0
AL012001,ALLISON,Atlantic,2001-06-06 18:00:00,TD,31.5,-95.0,20.0,1005.0
AL012001,ALLISON,Atlantic,2001-06-07 00:00:00,TD,31.6,-95.0,20.0,1005.0
AL012001,ALLISON,Atlantic,2001-06-07 06:00:00,TD,31.8,-94.9,20.0,1006.0
AL012001,ALLISON,Atlantic,2001-06-07 12:00:00,TD,31.4,-94.9,20.0,1006.0
AL012001,ALLISON,Atlantic,2001-06-07 18:00:00,TD,31.1,-95.0,15.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-08 00:00:00,TD,30.9,-95.6,15.0,1002.0
AL012001,ALLISON,Atlantic,2001-06-08 06:00:00,TD,30.7,-96.1,20.0,1004.0
AL012001,ALLISON,Atlantic,2001-06-08 12:00:00,TD,30.4,-96.2,20.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-08 18:00:00,TD,30.2,-96.1,20.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-09 00:00:00,TD,29.9,-95.9,20.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-09 06:00:00,TD,29.6,-95.8,20.0,1007.0
AL012001,ALLISON,Atlantic,2001-06-09 12:00:00,TD,29.3,-95.8,20.0,1007.0
